,game_id,team,epa,success,yards_gained,touchdown,interception,fumble_lost,season,week,home_team,away_team,home_score,away_score,opponent,win,avg_points_last3,epa_last3,epa_last5,def_epa_allowed,epa_diff
1334,2025_07_IND_LAC,IND,0.3721989465115834,0.5616438356164384,403.0,5.0,0.0,0.0,2025,7,LAC,IND,24.0,38.0,LAC,1,359.0,0.2603916563051006,0.19670529188579655,-0.00452338386233512,0.37672233037391856
1145,2025_01_CAR_JAX,JAX,0.11752987668145165,0.48148148148148145,378.0,2.0,1.0,0.0,2025,1,JAX,CAR,26.0,10.0,CAR,1,330.6666666666667,0.10209057673697124,0.04255772643664577,0.028898181503766735,0.08863169517768492
1185,2025_02_JAX_CIN,JAX,0.07620942031169656,0.5057471264367817,400.0,3.0,2.0,0.0,2025,2,CIN,JAX,31.0,27.0,CIN,0,365.6666666666667,0.08333622456646955,0.030454886380636627,0.028898181503766735,0.047311238807929826
1219,2025_03_HOU_JAX,JAX,-0.12352672674320221,0.375,291.0,2.0,1.0,0.0,2025,3,JAX,HOU,17.0,10.0,HOU,1,356.3333333333333,0.023404190083315343,0.0517908847558816,0.028898181503766735,-0.15242490824696894
1250,2025_04_JAX_SF,JAX,-0.02903977862544024,0.45454545454545453,325.0,2.0,0.0,0.0,2025,4,SF,JAX,21.0,26.0,SF,1,338.6666666666667,-0.025452361685648624,0.019488433666153236,0.028898181503766735,-0.057937960129206975
1276,2025_05_KC_JAX,JAX,0.16188827129354919,0.5616438356164384,319.0,3.0,1.0,1.0,2025,5,JAX,KC,31.0,28.0,KC,1,311.6666666666667,0.003107255308302257,0.04061221258361099,0.028898181503766735,0.13299008978978244
1320,2025_06_SEA_JAX,JAX,-0.08716789750317212,0.3723404255319149,273.0,2.0,0.0,0.0,2025,6,JAX,SEA,12.0,20.0,SEA,0,305.6666666666667,0.01522686505497895,-0.00032734225331376433,0.028898181503766735,-0.11606607900693885
1336,2025_07_LA_JAX,JAX,-0.11441665232252464,0.45652173913043476,358.0,1.0,0.0,0.0,2025,7,JAX,LA,7.0,35.0,LA,0,316.6666666666667,-0.013232092844049184,-0.038452556780158006,0.028898181503766735,-0.14331483382629137
1154,2025_01_KC_LAC,KC,0.13125316683729504,0.45569620253164556,347.0,2.0,0.0,0.0,2025,1,LAC,KC,27.0,21.0,LAC,0,332.0,0.019728021475598063,-0.030410085845354585,-0.029465248203634897,0.16071841504092993
1194,2025_02_PHI_KC,KC,-0.03593376587101114,0.4594594594594595,294.0,2.0,1.0,0.0,2025,2,KC,PHI,17.0,20.0,PHI,0,306.6666666666667,-0.055812150827100164,0.024450289980709444,-0.029465248203634897,-0.006468517667376241
